id,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,is_default,avg_bill_amt,avg_pay_amt,payment_ratio,months_with_delay,max_delay,avg_delay,age_group,limit_bucket
1,20000.0,female,university,married,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1,1284.0,114.83333333333333,0.0893644617380026,2,2,-0.3333333333333333,21-30,low
2,120000.0,female,university,single,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,2846.1666666666665,833.3333333333334,0.2926886378270796,2,2,0.5,21-30,medium
3,90000.0,female,university,single,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,16942.166666666668,1836.3333333333333,0.10838194355639932,0,0,0.0,31-40,low
4,50000.0,female,university,married,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,38555.666666666664,1398.0,0.03625832108584767,0,0,0.0,31-40,low
5,50000.0,male,university,married,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,18223.166666666668,9841.5,0.5400246924870822,0,0,-0.3333333333333333,51-60,low
6,50000.0,male,graduate_school,single,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,39685.666666666664,1295.3333333333333,0.032639005543423485,0,0,0.0,31-40,low
7,500000.0,male,graduate_school,single,29,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,454099.1666666667,30126.5,0.0663432921003846,0,0,0.0,21-30,high
8,100000.0,female,university,single,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0,2247.6666666666665,798.5,0.35509931811443823,0,0,-0.5,21-30,low
9,140000.0,female,high_school,married,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,10868.666666666666,1126.8333333333333,0.10366769910147505,1,2,0.3333333333333333,21-30,medium
10,20000.0,male,high_school,single,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0,4486.5,2354.8333333333335,0.5247539461467038,0,-1,-1.6666666666666667,31-40,low
11,200000.0,female,high_school,single,34,0,0,2,0,0,-1,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,12.0,50.0,300.0,3738.0,66.0,0,5744.5,1078.6666666666667,0.18774113073999943,1,2,0.16666666666666666,31-40,medium
12,260000.0,female,graduate_school,single,51,-1,-1,-1,-1,-1,2,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0,14728.166666666666,11051.333333333334,0.7503026874115983,1,2,-0.5,51-60,high
13,630000.0,female,university,single,41,-1,0,-1,-1,-1,-1,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0,6834.5,3895.0,0.5698193255796943,0,0,-0.8333333333333334,41-50,very_high
14,70000.0,male,university,single,30,1,2,2,0,0,2,65802.0,67369.0,65701.0,66782.0,36137.0,36894.0,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1,56447.5,1783.3333333333333,0.03159221827565539,4,2,1.1666666666666667,21-30,low
15,250000.0,male,graduate_school,single,29,0,0,0,0,0,0,70887.0,67060.0,63561.0,59696.0,56875.0,55512.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,62265.166666666664,3000.0,0.04818025840678592,0,0,0.0,21-30,high
16,50000.0,female,high_school,others,23,1,2,0,0,0,0,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0,32736.0,1033.3333333333333,0.03156469234607121,2,2,0.5,21-30,low
17,20000.0,male,graduate_school,single,24,0,0,2,2,2,2,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0,3200.0,0.0,1500.0,0.0,1650.0,0.0,1,17693.5,1058.3333333333333,0.05981142916348771,4,2,1.3333333333333333,21-30,low
18,320000.0,male,graduate_school,married,49,0,0,0,-1,-1,-1,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0,161002.33333333334,60316.166666666664,0.37462681932051095,0,0,-0.5,41-50,high
19,360000.0,female,graduate_school,married,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1.5,41-50,high
20,180000.0,female,graduate_school,single,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1.5,21-30,medium
