threshold,precision,recall,f1,true_positives,false_positives,true_negatives,false_negatives,customers_flagged
0.1,0.2888622754491018,0.908816880180859,0.43838604143947657,1206,2969,1704,121,4175
0.15,0.3561409510776599,0.7844762622456669,0.4898823529411765,1041,1882,2791,286,2923
0.2,0.4249879401833092,0.6639035418236624,0.518235294117647,881,1192,3481,446,2073
0.25,0.495625,0.5975885455915599,0.5418517253160232,793,807,3866,534,1600
0.3,0.5369276218611522,0.5478522984174831,0.5423349496456547,727,627,4046,600,1354
0.35,0.5799648506151143,0.49736247174076864,0.5354969574036511,660,478,4195,667,1138
0.4,0.6047966631908238,0.4370761115297664,0.5074365704286964,580,379,4294,747,959
0.45,0.6347087378640777,0.39412207987942727,0.48628544862854484,523,301,4372,804,824
0.5,0.6579310344827586,0.359457422758101,0.4649122807017544,477,248,4425,850,725
0.55,0.6925465838509317,0.3360964581763376,0.45256215119228815,446,198,4475,881,644
0.6,0.70298769771529,0.30143180105501133,0.4219409282700422,400,169,4504,927,569
0.65,0.7176220806794055,0.25470987189148453,0.3759733036707453,338,133,4540,989,471
0.7,0.7591973244147158,0.1710625470987189,0.27921279212792127,227,72,4601,1100,299
0.75,0.813953488372093,0.07912584777694047,0.14423076923076922,105,24,4649,1222,129
0.8,0.9032258064516129,0.02110022607385079,0.041237113402061855,28,3,4670,1299,31
0.85,1.0,0.00452147701582517,0.00900225056264066,6,0,4673,1321,6
0.9,0.0,0.0,0.0,0,0,4673,1327,0
